"_id","prcss_code","prcss_name","prcss_uniquekey_name","prcss_uniquekey_datatyp","status","createdby","createdAt","updatedAt","__v"
"67d1566cf70edbb74c055d0e","PO","Purchase Order","PO Number","alphanumeric","Active","67cf57d8d2169b206e2c5886","2025-03-12T09:39:56.065Z","2025-03-12T09:39:56.065Z",0
"67d5afa17cf4683e8974f1fb","SO","Sales Order","SO Number","alphanumeric","Active","67cfce0f10a035e9c1ea7e29","2025-03-15T16:49:37.740Z","2025-03-15T16:49:37.740Z",0
