"_id","comp_code","comp_desc","status","createdby","createdAt","updatedAt","__v"
"67cfdde3959a7e253e6c87a7","SSPL","Shyam SEL & Power Limited","Active","67cf57d8d2169b206e2c5886","2025-03-11T06:53:23.130Z","2025-03-11T06:53:23.130Z",0
"67cfde0b959a7e253e6c8800","SMEL","Shyam Metalics & Energy Limited","Active","67cf57d8d2169b206e2c5886","2025-03-11T06:54:03.613Z","2025-03-11T06:54:03.613Z",0
