"_id","div_code","div_desc","status","createdby","createdAt","updatedAt","__v"
"67cfde73959a7e253e6c8858","01","DRI","Active","67cf57d8d2169b206e2c5886","2025-03-11T06:55:47.449Z","2025-03-11T06:55:47.449Z",0
"67cfde9e959a7e253e6c8895","05","Rolling Mill","Active","67cf57d8d2169b206e2c5886","2025-03-11T06:56:30.013Z","2025-03-11T06:56:30.013Z",0
